step 40064/60000 (66.77%) | K: 2 | loss: 5.548724 | L1: 2.550506 | L2: 3.001402 | lrm: 0.54 | dt: 1973.89ms | tok/sec: 265,611 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 48 | total time: 678.44m | eta: 337.7m
step 40065/60000 (66.78%) | K: 2 | loss: 5.516863 | L1: 2.541405 | L2: 2.978302 | lrm: 0.54 | dt: 1974.31ms | tok/sec: 265,555 | bf16_mfu: 62.25 | epoch: 3 pq: 101 rg: 56 | total time: 678.47m | eta: 337.7m
step 40066/60000 (66.78%) | K: 2 | loss: 5.513125 | L1: 2.546213 | L2: 2.969463 | lrm: 0.54 | dt: 1974.05ms | tok/sec: 265,590 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 56 | total time: 678.51m | eta: 337.7m
step 40067/60000 (66.78%) | K: 2 | loss: 5.500047 | L1: 2.545448 | L2: 2.956887 | lrm: 0.54 | dt: 1975.76ms | tok/sec: 265,360 | bf16_mfu: 62.21 | epoch: 3 pq: 101 rg: 56 | total time: 678.54m | eta: 337.7m
step 40068/60000 (66.78%) | K: 2 | loss: 5.466763 | L1: 2.535548 | L2: 2.933257 | lrm: 0.54 | dt: 1974.23ms | tok/sec: 265,565 | bf16_mfu: 62.25 | epoch: 3 pq: 101 rg: 56 | total time: 678.57m | eta: 337.6m
step 40069/60000 (66.78%) | K: 2 | loss: 5.451784 | L1: 2.534592 | L2: 2.919021 | lrm: 0.54 | dt: 1974.58ms | tok/sec: 265,518 | bf16_mfu: 62.24 | epoch: 3 pq: 101 rg: 56 | total time: 678.61m | eta: 337.6m
step 40070/60000 (66.78%) | K: 2 | loss: 5.448125 | L1: 2.538782 | L2: 2.910984 | lrm: 0.54 | dt: 1974.63ms | tok/sec: 265,512 | bf16_mfu: 62.24 | epoch: 3 pq: 101 rg: 56 | total time: 678.64m | eta: 337.6m
step 40071/60000 (66.78%) | K: 2 | loss: 5.457023 | L1: 2.548222 | L2: 2.910278 | lrm: 0.54 | dt: 1975.95ms | tok/sec: 265,334 | bf16_mfu: 62.20 | epoch: 3 pq: 101 rg: 56 | total time: 678.67m | eta: 337.6m
step 40072/60000 (66.79%) | K: 2 | loss: 5.450437 | L1: 2.550665 | L2: 2.901097 | lrm: 0.54 | dt: 1974.81ms | tok/sec: 265,487 | bf16_mfu: 62.23 | epoch: 3 pq: 101 rg: 64 | total time: 678.70m | eta: 337.6m
step 40073/60000 (66.79%) | K: 2 | loss: 5.443664 | L1: 2.552345 | L2: 2.892508 | lrm: 0.54 | dt: 1974.17ms | tok/sec: 265,573 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 64 | total time: 678.74m | eta: 337.6m
